CustomerID,Sex,Age,Marital Status,Number of Dependants,Annual Income,Account Type,Credit Limit,Number of Accounts,Months since Openning,Outstanding Balance,Utilisation Ratio,Total Amount of Transactions,Total Number of Transactions,Number of Contacts over 12 months,Months Inactive over 12 months,Status
1621953962,M,51,Married,2,$70K - $90K,Silver,4123,5,46,1760,0.427,2447,40,2,3,Closed
1599451862,M,46,Married,3,$90K - $110K,Silver,19458,4,40,1435,0.074,1217,27,3,3,Active
1429196012,F,49,Married,1,$50K - $70K,Silver,1438.3,4,41,522,0.363,2030,37,3,3,Closed
1417901012,M,54,Married,3,$90K - $110K,Gold,34516,2,36,761,0.022,8444,68,1,3,Closed
1427399912,M,47,Single,2,$90K - $110K,Silver,34516,3,36,1264,0.037,7827,77,2,2,Active
1432477412,F,46,Married,1,Less than $50K,Silver,2532,4,37,1487,0.587,4143,71,2,2,Active
1432736462,F,45,Married,2,Unknown,Silver,8103,2,36,0,0,5221,82,3,1,Active
1431547262,M,41,Married,3,$110K and Over,Gold,34516,3,36,1453,0.042,4147,76,2,3,Active
1416980462,F,57,Married,3,Less than $50K,Silver,2515,5,47,1922,0.764,2231,58,3,3,Active
1435853912,F,48,Divorced,2,Unknown,Silver,3745,3,37,1291,0.345,4956,88,2,4,Active
1435718012,F,42,Married,5,Unknown,Silver,1840,3,29,1267,0.689,4515,76,3,2,Active
1419449762,M,50,Married,1,$70K - $90K,Silver,20708,2,37,1357,0.066,8503,88,2,2,Active
1558624112,F,42,Married,4,Less than $50K,Silver,4304,3,24,0,0,1788,36,3,2,Closed
1440487562,M,55,Married,0,$90K - $110K,Silver,8276,3,36,1671,0.202,1409,25,3,1,Active
1431918512,M,53,Single,3,$70K - $90K,Silver,19940,5,36,2018,0.101,4694,75,1,1,Active
1437023762,M,46,Married,3,$90K - $110K,Silver,4786,3,37,0,0,4347,69,4,1,Active
1543602062,F,61,Married,1,Unknown,Silver,3359,3,50,1405,0.418,4871,79,1,3,Active
1436197262,F,44,Single,4,Less than $50K,Silver,6882,1,30,1930,0.28,13836,113,3,2,Active
1420492262,M,44,Married,3,$70K - $90K,Diamond,34516,3,34,1543,0.045,13967,101,3,1,Active
1541856362,F,51,Single,0,Less than $50K,Silver,4132,2,38,2517,0.609,13820,129,2,2,Active
1417893962,M,47,Single,2,$70K - $90K,Silver,3569,5,40,1030,0.289,4612,75,4,2,Active
1439250212,F,33,Unknown,1,Less than $50K,Diamond,15987,2,24,1992,0.125,8302,81,2,3,Active
1426257512,M,56,Married,3,$110K and Over,Silver,17539,6,43,2517,0.144,1220,30,2,2,Active
1416421562,M,53,Single,1,$90K - $110K,Silver,1826,6,45,883,0.484,2199,48,2,3,Active
1545742112,M,47,Single,3,$110K and Over,Diamond,34516,2,38,1342,0.039,7283,89,3,4,Active
1421057312,M,47,Single,2,$70K - $90K,Silver,2048,3,34,1599,0.781,4855,88,2,3,Active
1440969212,F,52,Married,1,Unknown,Silver,10431,3,43,2163,0.207,4598,69,1,3,Active
1433387612,F,46,Single,3,Less than $50K,Silver,6218,2,36,2517,0.405,7689,84,3,2,Active
